ElapsedTime,ActiveDrones,DisabledDrones,MapExplorationPercentage,VictimsDiscovered,VictimsRescued,TotalVictims
1.01,7,0,0.00,0,0,1
2.12,11,0,0.00,0,0,1
3.23,15,0,0.00,0,0,1
4.30,15,0,0.00,0,0,1
5.31,15,0,0.00,0,0,1
6.32,15,0,0.00,0,0,1
7.54,15,0,0.00,0,0,1
8.68,15,0,0.00,0,0,1
9.84,15,0,0.00,0,0,1
10.86,15,0,0.00,0,0,1
11.87,15,0,0.00,0,0,1
12.89,15,0,0.00,0,0,1
13.90,15,0,0.00,0,0,1
14.91,15,0,0.00,0,0,1
15.91,15,0,0.00,0,0,1
17.02,15,0,0.00,0,0,1
18.03,15,0,0.00,0,0,1
19.04,15,0,0.00,0,0,1
20.05,15,0,0.00,0,0,1
21.06,15,0,0.00,0,0,1
22.07,15,0,0.00,0,0,1
23.08,15,0,0.00,0,0,1
24.09,15,0,0.00,0,0,1
25.09,15,0,0.00,0,0,1
26.10,15,0,0.00,0,0,1
